title,box_off_num
내가 살인범이다,1455666.2762688315
터치,145275.3944644403
늑대소년,1921615.7666061285
맥코리아,130272.80028327185
용의자X,1340191.6814365422
하나안,212997.10665728743
투 올드 힙합 키드,214274.905730299
한경직,188870.47328502688
미운오리새끼,210076.85161325132
황제펭귄 펭이와 솜이,130284.12870860026
두 개의 문,290692.7797163668
I AM,718137.7981062337
후궁 : 제왕의 첩,2176225.8631801023
"안녕, 하세요!",227737.49049409962
천국의 아이들,861852.8901999667
할머니는 일학년,307581.2345501439
두레소리,468637.40314957744
"봄, 눈",470547.80484081514
은교,1921615.7666061285
간기남,1431667.5435662158
시체가 돌아왔다,808049.8155595851
말하는 건축가,217236.41891774326
밀월도 가는 길,150694.13805760807
파파,1445606.275361547
점박이:한반도의 공룡3D,199878.85077324082
댄싱퀸,2287088.605748463
누구의 딸도 아닌 해원,149837.57862828468
신세계,3405256.8339206777
굿바이 홈런,142270.88067340033
불륜의 시대,216701.9601161527
남쪽으로 튀어,1366721.1921099394
좋은 친구들,1105725.2343867898
지슬 - 끝나지 않은 세월 2,468637.40314957744
누구나 제 명에 죽고 싶다,145432.29980332564
사이코메트리,608802.0852475453
환상속의 그대,612905.2528004876
몽타주,1291122.82758728
"힘내세요, 병헌씨",344907.37521769997
꼭두각시,354144.52430680336
홀리,257103.27396332278
마이 라띠마,1921615.7666061285
더 테러 라이브,300499.89727243385
슈퍼피쉬 - 끝없는 여정,130272.80028327185
콩가네,758181.0568137142
허풍,286166.4868878358
젊은 엄마,126355.08528653528
노라노,173720.20480235602
노브레싱,1236596.3947481082
말하는 건축 시티:홀,469121.45958545397
댄서김의 은밀한 교수법,158838.32427225506
소원,1292042.1897612342
고양이 소녀,142605.06486103043
롤플레이 2 : 동침,158838.32427225506
동창생,1542527.1366391655
용의자,3119678.6330573806
미녀전쟁,278269.37531460385
캐치미,1149843.028112358
그 강아지 그 고양이,312308.31804106606
화려한 외출,126925.66423675786
오하이오 삿포로,126469.21691202097
마이 리틀 히어로,2163533.697684071
박수건달,2881041.5376683963
배꼽,221587.33578077174
나가요 미스콜,362826.9557239506
우아한 거짓말,1786497.9396177332
미스터 컴퍼니,142237.91175732887
우리별 일호와 얼룩소,190929.7233673583
찌라시: 위험한 소문,1098507.403245651
조선미녀삼총사,731900.7340203555
만찬,1924896.6022950888
한 번도 안 해본 여자,235034.8294694636
살인자,314033.16438399977
  이것이 우리의 끝이다,468637.40314957744
그댄 나의 뱀파이어,232006.11612090436
황제를 위하여,456491.98298222804
레디액션! 폭력영화,444313.0874879138
스퀴시랜드,200044.19601542837
우는 남자,1535576.5132753507
하이힐,2146943.392571828
도희야,1065795.2016215792
표적,815163.2112529452
10분,214115.77658110257
메이크 유어 무브,1170939.2176579803
카토 프로젝트,130272.80028327185
녀녀녀,204462.61435924273
방황하는 칼날,2211096.864395769
바리새인,130248.50005001454
욕망의 독: 중독,322152.60449520533
설계,362419.69358429225
레쓰링,266216.9803965249
원 컷 - 어느 친절한 살인자의 기록,354310.17802109616
픽업 아티스트,531639.8731025353
옹녀뎐,131593.89986543066
왓니껴,1588139.3612724105
족구왕,357230.49979611195
내 연애의 기억,236868.45419398294
바세코의 아이들,130272.80028327185
명량,3405256.8339206777
군도: 민란의 시대,2287088.605748463
산타바바라,143581.55391351122
나는 야한 여자가 좋다,126804.77049353227
숙희,174906.85779834932
더 테너 리리코 스핀토,1872557.926839002
기술자들,1353784.171786851
신화 라이브 3D 더 레전드 컨티뉴스,245291.5226187127
악사들,228191.1832379803
울언니,216701.9601161527
정사: 위험한 성적유희,132668.25350501097
레디액션 청춘,2192965.0636191834
"제자, 옥한흠",250708.32076955558
환상,126804.77049353227
위층여자,125485.71284961872
가자! 장미여관으로 3 - 방황,147314.12065448044
나는 야한 여자가 좋다 3,126804.77049353227
스물,913040.2511153666
그라운드의 이방인,355666.5488934733
살인의뢰,530030.7364484414
살인캠프,300499.89727243385
헬머니,668868.4778198506
조류인간,545909.4550698072
최강전사 미니특공대 : 새로운 악당의 습격,177689.69373978523
생각보다 맑은,172905.05563353538
고양이 장례식,474241.2020464698
설해,861187.7976980351
나의 절친 악당들,1210994.9619380687
연평해전,1921615.7666061285
극비수사,1025447.1348867702
성난 화가,445117.1241562549
은밀한 유혹,1324779.0676524295
혜경궁 홍씨,1921615.7666061285
무뢰한,1383085.4032672534
간신,3405256.8339206777
연애의 맛,394430.50417762296
잡식가족의 딜레마,329458.0961001489
플랑크 상수,129405.63462428914
장수상회,1025947.4484830707
파울볼,143235.42691795097
춘희막이,124368.55304381713
덫: 치명적인 유혹,738953.832601179
션샤인 러브,771727.7981303302
사도,3405256.8339206777
돼지 같은 여자,341243.8610137738
사랑이 이긴다,238027.22955248156
슈퍼레이서 엔지,2163533.697684071
제 7기사단,913040.2511153666
고백,318835.4483846985
미쓰 와이프,2130006.0361724356
위로공단,214042.54449303704
베테랑,2133286.8718613964
악인은 살아 있다,395737.7356995831
쓰리 썸머 나잇,1143211.9387173601
마돈나,1255589.9728216797
"나의 아들, 나의 어머니",147789.47837853574
슬픈남자,335669.05309738684
타이밍,240599.55373664442
타투,829742.4775301554
어떤이의 꿈,120662.30344190616
해에게서 소년에게,128549.61149125015
울보 권투부,188870.47328502688
어떤살인,748525.2643674556
말하지 못한 비밀,353404.28336522036
조선안방 스캔들-칠거지악 2,129405.63462428914
