title,box_off_num
천국의 아이들,579218.5826866644
할머니는 일학년,296289.96577092184
두레소리,253320.53097069226
"봄, 눈",242849.53076057712
은교,1300666.1439365025
간기남,1537855.931027554
시체가 돌아왔다,1179484.8328551129
말하는 건축가,193802.40034032316
밀월도 가는 길,161894.34642393017
파파,1915658.7853250876
점박이:한반도의 공룡3D,183339.76506418557
댄싱퀸,3205407.1286616256
누구의 딸도 아닌 해원,111249.67296182379
신세계,4393528.109833845
굿바이 홈런,134675.49547461758
불륜의 시대,221977.4174703098
남쪽으로 튀어,1686632.696898607
좋은 친구들,1351581.9208083758
지슬 - 끝나지 않은 세월 2,253320.53097069226
누구나 제 명에 죽고 싶다,168596.68442957263
사이코메트리,609609.8860753688
환상속의 그대,605611.4806032015
몽타주,1395790.2729622354
"힘내세요, 병헌씨",314411.17114548205
꼭두각시,218726.0988477085
홀리,285443.2754076505
마이 라띠마,1300666.1439365025
더 테러 라이브,136234.95240368857
슈퍼피쉬 - 끝없는 여정,111518.45997570195
콩가네,879256.0482954398
허풍,165489.28881650482
젊은 엄마,100828.193150167
노라노,176957.9935261562
노브레싱,672097.4343422643
말하는 건축 시티:홀,336154.44394117006
댄서김의 은밀한 교수법,133493.56600519357
소원,810906.9025959475
고양이 소녀,124858.66789259308
롤플레이 2 : 동침,133493.56600519357
동창생,1510460.3844171886
용의자,3694370.365357359
미녀전쟁,115433.59585311562
캐치미,1407898.8200845341
그 강아지 그 고양이,296289.96577092184
화려한 외출,132745.2936464808
오하이오 삿포로,102034.92501226327
마이 리틀 히어로,1933600.414897658
박수건달,4007371.335855107
배꼽,235219.78075796188
나가요 미스콜,317502.41508672584
우아한 거짓말,1537679.6384584932
미스터 컴퍼니,134902.3439528785
우리별 일호와 얼룩소,117329.60238549575
찌라시: 위험한 소문,832856.8312945009
조선미녀삼총사,825029.7993032134
만찬,1344167.915814462
한 번도 안 해본 여자,233291.856070688
살인자,137318.65011173725
  이것이 우리의 끝이다,205548.47005932828
그댄 나의 뱀파이어,133180.63898675257
황제를 위하여,385185.99773371156
레디액션! 폭력영화,308933.95282158075
스퀴시랜드,202135.70277076482
우는 남자,1803906.29949141
하이힐,1675196.4930081288
도희야,684789.8716436966
표적,226221.41347022456
10분,232491.62806138783
메이크 유어 무브,998477.5469330332
카토 프로젝트,111311.27427635292
녀녀녀,201602.64792948499
방황하는 칼날,1679671.3973268173
바리새인,136499.75378215738
욕망의 독: 중독,169780.38971170015
설계,204494.74048564097
레쓰링,52210.56977711499
원 컷 - 어느 친절한 살인자의 기록,217120.20737499738
픽업 아티스트,291932.1702880874
옹녀뎐,126676.79996003033
왓니껴,1563626.1031631157
족구왕,317502.41508672584
내 연애의 기억,193200.33526802633
바세코의 아이들,111311.27427635292
명량,4615961.041008281
군도: 민란의 시대,2877658.6745471414
산타바바라,156206.16470582382
나는 야한 여자가 좋다,101167.5089154166
숙희,152513.13390655367
더 테너 리리코 스핀토,938089.4923633768
기술자들,1062045.2850069085
신화 라이브 3D 더 레전드 컨티뉴스,186830.31354667686
악사들,233322.4021774878
울언니,221977.4174703098
정사: 위험한 성적유희,182409.50717901243
레디액션 청춘,2111839.591776025
"제자, 옥한흠",271756.1205400317
환상,101167.5089154166
위층여자,88797.97964313536
가자! 장미여관으로 3 - 방황,171486.2074515282
나는 야한 여자가 좋다 3,101167.5089154166
스물,1442943.0251635825
그라운드의 이방인,324702.7516272948
살인의뢰,491876.9180726948
살인캠프,136234.95240368857
헬머니,847647.3882175594
조류인간,426158.2171012599
최강전사 미니특공대 : 새로운 악당의 습격,172749.45477919816
생각보다 맑은,133255.01830655368
고양이 장례식,462240.73547768715
설해,777995.4212975804
나의 절친 악당들,912064.9691547711
연평해전,1300666.1439365025
극비수사,941646.5232557843
성난 화가,268761.21957512194
은밀한 유혹,1571659.0156547758
혜경궁 홍씨,1087868.4532352188
무뢰한,1628220.3807218617
간신,4311896.756572776
연애의 맛,223858.96984257764
잡식가족의 딜레마,211410.82997912937
플랑크 상수,122436.47311800683
장수상회,1017494.1535257226
파울볼,164236.52401583808
춘희막이,113963.28209870649
덫: 치명적인 유혹,1284821.627320561
션샤인 러브,349331.8934266172
사도,4501010.27759508
돼지 같은 여자,352846.44907757296
사랑이 이긴다,236203.03733921252
슈퍼레이서 엔지,1933600.414897658
제 7기사단,1442943.0251635825
고백,228970.25118486845
미쓰 와이프,1789430.7421165116
위로공단,195773.20812859788
베테랑,1632052.3415044318
악인은 살아 있다,316481.96335818723
쓰리 썸머 나잇,1049277.67811044
마돈나,832856.8312945009
"나의 아들, 나의 어머니",121261.0360902135
슬픈남자,209208.67216125262
타이밍,237507.6822637281
타투,436411.69014226703
어떤이의 꿈,112089.59437379777
해에게서 소년에게,172238.82308247205
울보 권투부,209268.02330158275
어떤살인,1286869.073148176
말하지 못한 비밀,359618.29082265653
조선안방 스캔들-칠거지악 2,124363.28666960655
